"holderAddress","DEPOSIT_NECT_VAULT","DEPOSIT_iBGT_VAULT","GALXE","CUBQUEST","HOLD_GENESIS_NFT","HOLD_BERAC_POL_NFT","HOLD_BERAC_POL_2_NFT","STAKE_DIRAC_Phase_2","Stake_LP_KODIAK","STAKE_INFRARED","STAKE_BGT_STATION","TOTAL_POINTS"
"0xec099da9ea96c4ccfefc9f2438ca750991d44188",20,20,0,50,0,0,0,0,0,0,0,90
"0x880b4adc022f8bf625193b6e8a1808c2f94a92cc",20,20,50,50,30,0,40,10,10,0,0,230
"0xce631360377f5ba13ec67197a32ed31657b84d53",20,20,0,50,0,0,0,10,10,0,0,110
"0xe719dd3ebe4aaea3a15cbc9fbeee9a6f328c090e",20,20,0,50,0,0,0,0,0,0,0,90
"0x390d727c1fa341f9933bb795e89a9d0376811842",0,0,50,0,0,30,0,0,0,0,0,80
"0xf1ab4e3455a1da2dbf16260bc7ec37efda240eb5",20,20,0,50,0,15,40,10,10,0,0,165
"0xd8844b1661e8d7f22eb34feaee49b888be3f7f9b",20,20,0,50,0,0,0,0,0,0,0,90
"0x7c4d4a59957defeb40c890a1af03bc85d33786b9",20,20,50,50,0,0,40,10,0,0,30,220
"0xcf486e7a0c7d6b0bf4e3b9fea73524ce2ce3195a",0,0,50,0,0,15,0,0,0,0,0,65
"0x5a09e3fdb828ec32af3b4216bbda060de51ee72a",20,20,50,50,0,15,40,10,10,0,0,215
"0x4a95a5153206670c8b3024df0b73249dd38513db",20,20,50,0,0,0,0,10,10,0,0,110
"0x8837af23ffb59b5899de40028941fcf25efd345e",0,0,0,0,0,0,0,10,0,0,0,10
"0xc8c768053dcbbf77f248907de92e856d1052ce6a",20,20,0,50,0,45,40,10,0,0,0,185
"0x42c0c66933875d5549a7a38ffb3e73e659817330",0,20,50,0,0,0,0,0,0,0,0,70
"0xe37011c2ce8128543965351dbdca90e9ba8c01d6",20,20,0,0,0,0,0,0,0,0,0,40
"0x959e2a4db1fa5d56b810759f2e6d80a01eb9e892",20,20,50,50,0,45,40,10,0,0,30,265
"0x0315e4330dad50358d3efe8d7e0401fb9bc5baf1",0,0,50,0,0,0,0,0,10,0,0,60
"0xd4c4b000fe8036b3399d1ab8757a19ac55a81c3b",0,0,0,0,30,0,0,0,0,0,0,30
